Wall time,Step,Value
1740917971.799371,185,6.981167793273926
1740921855.995313,371,5.707435607910156
1740925772.033656,557,5.36358118057251
1740929667.8649259,743,5.094916820526123
1740933603.9596143,929,4.9722723960876465
1740937538.66154,1115,4.713675022125244
1740941442.5698814,1301,4.767402648925781
1740945360.04349,1487,4.526025772094727
1740949268.106636,1673,4.502109527587891
1740953153.6511724,1859,4.393739223480225
1740957056.2780237,2045,4.294135093688965
1740960955.2625291,2231,4.151394844055176
1740964873.5238411,2417,4.145421981811523
1740968763.7033093,2603,4.030716419219971
1740972710.0063145,2789,4.02140474319458
1740976677.9046266,2975,3.970881223678589
1740980615.9450555,3161,3.827361822128296
1740984525.07724,3347,3.7773571014404297
1740988417.9545975,3533,3.713311195373535
1740992324.1865904,3719,3.6844167709350586
1740996291.8225815,3905,3.6200780868530273
1741000170.3741634,4091,3.654017210006714
1741004147.5831048,4277,3.588521718978882
1741008040.3389573,4463,3.5528600215911865
1741011932.4011052,4649,3.427128314971924
1741015856.3367307,4835,3.356943368911743
